参数名称和符号,参数值,所属问题,参数类别,来源,原始证据文件,计算代码,生成结果,在模型中的作用,敏感性结果,是否影响最终结论,审核状态
BMI组偏移候选集合,入选连续模型在全部139个观测BMI取值上的BMI固定效应,第三问,B+D.附件支持域内选择,只允许观测BMI支持域内的连续效应值成为组代表，不另设偏移网格,01_数据/第三问孕妇首次可得基线表.csv,第三问多因素达标比例建模.py,02_模型结果/第三问主BMI分组.csv,使动态规划的每个BMI区间获得可复现组偏移,全部相邻BMI切点和全部K均参与BIC,是,通过
分组BIC参数计数,主模型共同参数+(K个组偏移)+(K-1个切点位置),第三问,C.模型结构推导,所有由数据选择的自由量均计入惩罚；样本量取167名孕妇,00_第三问题意合同与候选设计.md,第三问多因素达标比例建模.py,02_模型结果/第三问全部BMI组数BIC比较.csv,避免漏计切点搜索自由度,不设置组数上限或最小组人数,是,通过
技术测量误差标准差,0.00473360481008,第三问,B.附件复测数据估计,18组严格同会话技术复测、误差自由度18,01_数据/第三问严格技术复测明细.csv,第三问多因素达标比例建模.py,03_验证/第三问检测误差传播逐次.csv,在原浓度物理区间内传播事件均值误差并重算达标标志,标准差95%区间=0.00357677至0.00700017,是,通过
自助与误差传播重复次数B,最大400；检查100/200/400前缀,第三问,E.纯计算设置,递增前缀收敛检查,03_验证/第三问孕妇整簇自助次数收敛.csv,第三问多因素达标比例建模.py,03_验证/第三问检测误差传播次数收敛.csv,传播样本与技术误差不确定性,三档结果并列输出，不把400解释为科学常数,否（需看收敛表）,通过
随机种子,20250825,第三问,E.纯计算设置,复现设置,第三问多因素达标比例建模.py,第三问多因素达标比例建模.py,04_复现/第三问运行清单.json,固定技术误差和整簇自助随机序列,候选选择和主分组全样本BIC为确定性计算,否,通过
数值优化与概率保护,混合模型lbfgs/Powell回退、最大2000次；GEE最大300次；概率仅按机器精度保护,第三问,E.纯计算与机器数值设置,多初值优化失败回退和浮点log保护,第三问多因素达标比例建模.py,第三问多因素达标比例建模.py,04_复现/第三问依赖版本.txt,避免优化或log(0)数值失败，不构成科学阈值,167名孕妇留一拟合有效性单列,否（收敛后）,通过
主模型参数_截距,-2.82644463658,第三问,B.附件数据可复现估计,第三问多因素_线性浓度混合全样本最大似然或GEE估计,01_数据/第三问抽血事件与决策时可得变量表.csv,第三问多因素达标比例建模.py,02_模型结果/第三问推荐模型参数表.csv,logit浓度位置尺度,见整簇自助和质量口径敏感性文件,是,通过
主模型参数_孕周标准化,0.3471005615,第三问,B.附件数据可复现估计,第三问多因素_线性浓度混合全样本最大似然或GEE估计,01_数据/第三问抽血事件与决策时可得变量表.csv,第三问多因素达标比例建模.py,02_模型结果/第三问推荐模型参数表.csv,logit浓度位置尺度,见整簇自助和质量口径敏感性文件,是,通过
主模型参数_首次BMI标准化,-0.125670301284,第三问,B.附件数据可复现估计,第三问多因素_线性浓度混合全样本最大似然或GEE估计,01_数据/第三问抽血事件与决策时可得变量表.csv,第三问多因素达标比例建模.py,02_模型结果/第三问推荐模型参数表.csv,logit浓度位置尺度,见整簇自助和质量口径敏感性文件,是,通过
主模型参数_首次年龄标准化,-0.0834825978571,第三问,B.附件数据可复现估计,第三问多因素_线性浓度混合全样本最大似然或GEE估计,01_数据/第三问抽血事件与决策时可得变量表.csv,第三问多因素达标比例建模.py,02_模型结果/第三问推荐模型参数表.csv,logit浓度位置尺度,见整簇自助和质量口径敏感性文件,是,通过
主模型参数_首次身高标准化,-0.0413234578883,第三问,B.附件数据可复现估计,第三问多因素_线性浓度混合全样本最大似然或GEE估计,01_数据/第三问抽血事件与决策时可得变量表.csv,第三问多因素达标比例建模.py,02_模型结果/第三问推荐模型参数表.csv,logit浓度位置尺度,见整簇自助和质量口径敏感性文件,是,通过
主模型参数_首次生产次数,0.181924670852,第三问,B.附件数据可复现估计,第三问多因素_线性浓度混合全样本最大似然或GEE估计,01_数据/第三问抽血事件与决策时可得变量表.csv,第三问多因素达标比例建模.py,02_模型结果/第三问推荐模型参数表.csv,logit浓度位置尺度,见整簇自助和质量口径敏感性文件,是,通过
主模型参数_随机截距方差,0.123115098609,第三问,B.附件数据可复现估计,第三问多因素_线性浓度混合全样本最大似然或GEE估计,01_数据/第三问抽血事件与决策时可得变量表.csv,第三问多因素达标比例建模.py,02_模型结果/第三问推荐模型参数表.csv,logit浓度随机效应,见整簇自助和质量口径敏感性文件,是,通过
主模型参数_随机截距与孕周斜率协方差,0.000132911506592,第三问,B.附件数据可复现估计,第三问多因素_线性浓度混合全样本最大似然或GEE估计,01_数据/第三问抽血事件与决策时可得变量表.csv,第三问多因素达标比例建模.py,02_模型结果/第三问推荐模型参数表.csv,logit浓度随机效应,见整簇自助和质量口径敏感性文件,是,通过
主模型参数_随机孕周斜率方差,0.056026668955,第三问,B.附件数据可复现估计,第三问多因素_线性浓度混合全样本最大似然或GEE估计,01_数据/第三问抽血事件与决策时可得变量表.csv,第三问多因素达标比例建模.py,02_模型结果/第三问推荐模型参数表.csv,logit浓度随机效应,见整簇自助和质量口径敏感性文件,是,通过
主模型参数_残差方差,0.0894569530854,第三问,B.附件数据可复现估计,第三问多因素_线性浓度混合全样本最大似然或GEE估计,01_数据/第三问抽血事件与决策时可得变量表.csv,第三问多因素达标比例建模.py,02_模型结果/第三问推荐模型参数表.csv,logit浓度事件残差,见整簇自助和质量口径敏感性文件,是,通过
